"Series";"Time";"Value"
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:04:15+02:00";25685
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:04:30+02:00";25685
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:04:45+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:05:00+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:05:15+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:05:30+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:05:45+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:06:00+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:06:15+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:06:30+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:06:45+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:07:00+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:07:15+02:00";36296
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:07:30+02:00";36296
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:07:45+02:00";36487
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:08:00+02:00";36487
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:08:15+02:00";25783
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:08:30+02:00";25783
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:08:45+02:00";36781
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:09:00+02:00";36781
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:09:15+02:00";36979
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:09:30+02:00";36979
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:09:45+02:00";36979
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:10:00+02:00";36979
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:10:15+02:00";36979
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:10:30+02:00";36979
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:10:45+02:00";36968
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:11:00+02:00";36968
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:11:15+02:00";52647
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:11:30+02:00";52647
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:11:45+02:00";25767
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:12:00+02:00";25767
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:12:15+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:12:30+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:12:45+02:00";25782
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:13:00+02:00";25782
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:13:15+02:00";25685
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:13:30+02:00";25685
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:13:45+02:00";25783
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:14:00+02:00";25783
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:14:15+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:14:30+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:14:45+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:15:00+02:00";25684
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:15:15+02:00";25783
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:15:30+02:00";25783
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:15:45+02:00";36266
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:16:00+02:00";36266
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:16:15+02:00";36462
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:16:30+02:00";36462
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:16:45+02:00";36439
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:17:00+02:00";36439
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:17:15+02:00";36439
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:17:30+02:00";36439
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:17:45+02:00";36439
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:18:00+02:00";36439
"nvidia-gpu-device-plugin-q8cmp-gpu0";"2020-09-11T11:18:15+02:00";36439
